Data Type,Status,Owner,Comment,Link
HL7 Data Type - FHIR R4: CE[CodeableConcept],Ready for Ballot,,,https://docs.google.com/spreadsheets/d/1Wc_6Qyv_GP1dY33yMLX7435-J9QjLEdFg6u3EZF1tV0/edit#gid=0
HL7 Data Type - FHIR R4: CF[CodeableConcept],Ready for Ballot,,,https://docs.google.com/spreadsheets/d/10noQAsbbgOydDvG2Kk6CiPddQYLfNev2uwufgiSsaoc/edit#gid=0
HL7 Data Type - FHIR R4: CM[Specimen-Source],Ready for Ballot,,,https://docs.google.com/spreadsheets/d/1z_uMkI5txS3zB5YlhNdrrLULdaeW-mchihfO-sDiG5k/edit#gid=0
HL7 Data Type - FHIR R4: CNE[CodeableConcept],Ready for Ballot,,,https://docs.google.com/spreadsheets/d/1N7hrAWsVEsXG4kYonykU2gQXbnfla8GVlwyLKzHX0ww/edit#gid=0
HL7 Data Type - FHIR R4: CNN[Practitioner],Ready for Ballot,,,https://docs.google.com/spreadsheets/d/10RIiHor6MGnmIBrj1tKkhW2kkrgvODeTjDpJAj3R40Q/edit#gid=0
HL7 Data Type - FHIR R4: CQ[Code],Ready for Ballot,,,https://docs.google.com/spreadsheets/d/1BFNRs6fNoqFyXGmzfYB1-G3SGCMuHXuLAk0vXQyittQ/edit#gid=0
HL7 Data Type - FHIR R4: CQ[Decimal],Ready for Ballot,,,https://docs.google.com/spreadsheets/d/12vu2fD4SxfM1d8T-ifKbbbsCy-SMyWCyAcb0PRxBICU/edit#gid=0
HL7 Data Type - FHIR R4: CQ[Offset],Ready for Ballot,,,https://docs.google.com/spreadsheets/d/1vztiQ1Egc2E91ZVonjtUtB-aBsNq4jYOIFqqK6RnyHw/edit#gid=0
HL7 Data Type - FHIR R4: CQ[Quantity],Ready for Ballot,,OBR-9[Specimen] OK,https://docs.google.com/spreadsheets/d/1Hb0fSXbCl6EUvwRSOjAz0TdYTvgphzcfkc6iQjGPLGo/edit#gid=0
HL7 Data Type - FHIR R4: CQ[UnsignedInt],Ready for Ballot,,,https://docs.google.com/spreadsheets/d/1vztiQ1Egc2E91ZVonjtUtB-aBsNq4jYOIFqqK6RnyHw/edit#gid=0
HL7 Data Type - FHIR R4: CWE[Annotation],Ready for Ballot,,,https://docs.google.com/spreadsheets/d/1iqys8nuFDvOmbxp5CQjvX6FbuqEmZygJaZyp9rShzqA/edit#gid=0
HL7 Data Type - FHIR R4: CWE[code],Ready for Ballot,,,https://docs.google.com/spreadsheets/d/1rpYMOlalOZCth8iaAF8Az7unnYuucYtz91jFhU0usKw/edit#gid=0
HL7 Data Type - FHIR R4: CWE[CodeableConcept],Ready for Ballot,,,https://docs.google.com/spreadsheets/d/11lVAfG6s5woVJf2_gy6fUiEM0xFtOAjgQJ_xJvkxfXo/edit#gid=0
HL7 Data Type - FHIR R4: CWE[Coding],Ready for Ballot,,,https://docs.google.com/spreadsheets/d/16EsPaP--u_j82g6YeV81ZHcJdzk0EzNbNs_hTdkek_A/edit#gid=0
HL7 Data Type - FHIR R4: CWE[Device],Ready for Ballot,Hans,,https://docs.google.com/spreadsheets/d/13LJngzZ_t2CzddzgZu8MR1dbNJfyH9mWN1cRzRs7VIQ/edit#gid=0
HL7 Data Type - FHIR R4: CWE[Duration],Ready for Ballot,,,https://docs.google.com/spreadsheets/d/1ntf81Wves7hw4mvMMBYLqzR3La76-rtndbiz39IFnMU/edit#gid=0
HL7 Data Type - FHIR R4: CWE[Identifier],Ready for Ballot,Camila,,https://docs.google.com/spreadsheets/d/1uMJal5GjmIC2nJcjd6m0kDY0o7iuOb9O3oSwTjpHtYs/edit#gid=0
HL7 Data Type - FHIR R4: CWE[Observation-SupportingInfo],Ready for Ballot,,,https://docs.google.com/spreadsheets/d/1vSwxT_mkiwYr4ueODQhxrOM7Q79Y14SXcF3oHejKmE4/edit#gid=0
HL7 Data Type - FHIR R4: CWE[Organization],Ready for Ballot,,,https://docs.google.com/spreadsheets/d/1WA2er1u1qS9eHFuGDo_MDZstWxdyg_34YnlohIO2dBU/edit#gid=0
HL7 Data Type - FHIR R4: CWE[PractitionerRole],Ready for Ballot,,,https://docs.google.com/spreadsheets/d/17rAsM14GKm-hwj88gnygm2C6lVt_nYnzJ6SR0sM_2qo/edit#gid=0
