HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,XON.1,Organization Name,ST,0,1,,,,name,,string,0,1,,,,,
2,XON.2,Organization Name Type Code,CWE,0,1,,,,,extension??-nameType,coding,0,1,CWE[Coding],OrganizationalNameType,,,
3,XON.3,ID Number,NM,0,1,IF XON-10 NOT VALUED,,,identifier.value,,identifier,0,-1,,,,,
4,XON.4,Identifier Check Digit,NM,0,1,,,,identifier[1].extension[1].url,,uri,0,1,,,"""http://hl7.org/fhir/StructureDefinition/identifier-checkDigit""",,
4,XON.4,Identifier Check Digit,NM,0,1,,,,identifier[1].extension[1].valueString,,string,1,1,,,,,
5,XON.5,Check Digit Scheme,NM,0,1,,,,identifier[1].extension[2].url,,uri,0,1,,,"""http://hl7.org/fhir/StructureDefinition/namingsystem-checkDigit""",,
5,XON.5,Check Digit Scheme,NM,0,1,,,,identifier[1].extension[2].valueString,,string,1,1,,,,,
6,XON.6,Assigning Authority,HD,0,1,,,If organization,identifier[1].assigner(Organization),,Reference(Organization),0,1,HD[Organization],,,,
6,XON.6,Assigning Authority,HD,0,1,,,If system,identifier[1].system,,uri,0,1,HD[uri],,,,"Typically the assigning authority reflects an organization, but if it is an actual system (EHR 1 vs. EHR 2, both supporting the same organization where one cannot get more specific), then XCN.9 should be mapped to .system"
7,XON.7,Identifier Type Code,ID,0,1,,,,identifier.type.coding.code,,code,0,-1,,IdentifierType,,,
7,XON.7,Identifier Type Code,ID,0,1,,,,identifier.type.coding.system,,uri,0,-1,,,"""http://terminology.hl7.org/CodeSystem/v2-0203""",,
8,XON.8,Assigning Facility,HD,0,1,,,,,identifier.extension??-location,Reference(Location),0,-1,HD[Location],,,,
9,XON.9,Name Representation Code,ID,0,1,,,,,,,,,,,,,
10,XON.10,Organization Identifier,ST,0,1,,,,identifier.value,,string,0,-1,,,,,
