HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,CWE.1,Identifier,ST,0,1,,,If instance identifier,identifier[1].value,,,,,,,,,
1,CWE.1,Identifier,ST,0,1,,,If kind identifier,definition(DeviceDefinition.identifier[1].value),,,,,,,,,
2,CWE.2,Text,ST,0,1,,,,deviceName[1].name,,,,,,,,,
2,CWE.2,Text,ST,0,1,,,,deviceName[1].type,,,,,,,/select most appropriate value for actual use/,,
3,CWE.3,Name of Coding System,ID,0,1,,,If instance identifier,identifier[1].system,,,,,,,/map HL7 code system to appropriate url/,,
3,CWE.3,Name of Coding System,ID,0,1,,,If kind identifier,definition(DeviceDefinition.identifier[1].system),,,,,,,/map HL7 code system to appropriate url/,,
4,CWE.4,Alternate Identifier,ST,0,1,,,If instance identifier,identifier[2].value,,,,,,,,,
4,CWE.4,Alternate Identifier,ST,0,1,,,If kind identifier,definition(DeviceDefinition.identifier[2].value),,,,,,,,,
5,CWE.5,Alternate Text,ST,0,1,,,,deviceName[2].name,,,,,,,,,
5,CWE.5,Alternate Text,ST,0,1,,,,deviceName[2].type,,,,,,,/select most appropriate value for actual use/,,
6,CWE.6,Name of Alternate Coding System,ID,0,1,,,If instance identifier,identifier[2].system,,,,,,,/map HL7 code system to appropriate url/,,
6,CWE.6,Name of Alternate Coding System,ID,0,1,,,If kind identifier,definition(DeviceDefinition.identifier[2].system),,,,,,,/map HL7 code system to appropriate url/,,
7,CWE.7,Coding System Version ID,ST,0,1,,,,,,,,,,,,,
8,CWE.8,Alternate Coding System Version ID,ST,0,1,,,,,,,,,,,,,
9,CWE.9,Original Text,ST,0,1,,,,deviceName[4].name,,,,,,,,,
9,CWE.9,Original Text,ST,0,1,,,,deviceName[4].type,,,,,,,/select most appropriate value for actual use/,,
10,CWE.10,Second Alternate Identifier,ST,0,1,,,If instance identifier,identifier[3].value,,,,,,,,,
10,CWE.10,Second Alternate Identifier,ST,0,1,,,If kind identifier,definition(DeviceDefinition.identifier[3].value),,,,,,,,,
11,CWE.11,Second Alternate Text,ST,0,1,,,,deviceName[3].name,,,,,,,,,
11,CWE.11,Second Alternate Text,ST,0,1,,,,deviceName[3].type,,,,,,,/select most appropriate value for actual use/,,
12,CWE.12,Name of Second Alternate Coding System,ID,0,1,,,If instance identifier,identifier[3].system,,,,,,,/map HL7 code system to appropriate url/,,
12,CWE.12,Name of Second Alternate Coding System,ID,0,1,,,If kind identifier,definition(DeviceDefinition.identifier[3].system),,,,,,,/map HL7 code system to appropriate url/,,
13,CWE.13,Second Alternate Coding System Version ID,ST,0,1,,,,,,,,,,,,,
14,CWE.14,Coding System OID,ST,0,1,,,,,,,,,,,,,
15,CWE.15,Value Set OID,ST,0,1,,,,,,,,,,,,,
16,CWE.16,Value Set Version ID,DTM,0,1,,,,,,,,,,,,,
17,CWE.17,Alternate Coding System OID,ST,0,1,,,,,,,,,,,,,
18,CWE.18,Alternate Value Set OID,ST,0,1,,,,,,,,,,,,,
19,CWE.19,Alternate Value Set Version ID,DTM,0,1,,,,,,,,,,,,,
20,CWE.20,Second Alternate Coding System OID,ST,0,1,,,,,,,,,,,,,
21,CWE.21,Second Alternate Value Set OID,ST,0,1,,,,,,,,,,,,,
22,CWE.22,Second Alternate Value Set Version ID,DTM,0,1,,,,,,,,,,,,,
