HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
4,TM.(p1)(1-2),HH,ST,0,1,,,,time.(p1)(1-2),,,0,1,,,,,
5,TM.(p1)(3-4),MM,ST,0,1,,,,time.(p1)(3),,,0,1,,,""":""",,
5,TM.(p1)(3-4),MM,ST,0,1,,,,time.(p1)(4-5),,,0,1,,,,,
6,TM.(p1)(5-6),SS,ST,0,1,,,,time.(p1)(6),,,0,1,,,""":""",,
6,TM.(p1)(5-6),SS,ST,0,1,,,,time.(p1)(7-8),,,0,1,,,,,
7,TM.(p1)(8-11),.SSSS,ST,0,1,,,,,,,,,,,,,
7,TM.(p1)(8-11),.SSSS,ST,0,1,,,,,,,,,,,,,
8,TM.(p2)(1),+/-,ST,0,1,,,,,,,,,,,,,
8,TM.(p2)(1),+/-,ST,0,1,,,,,,,,,,,,,
9,TM.(p2)(2-3),ZZ,ST,0,1,,,,,,,,,,,,,
10,TM.(p2)(4-5),ZZ,ST,0,1,,,,,,,,,,,,,
10,TM.(p2)(4-5),ZZ,ST,0,1,,,,,,,,,,,,,
