HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
0,,,,,,,,,patient(Patient.identifier),,,,,,,/one of the PID-3 or other available identifiers that uniquely links to the patient who's mother is represented in this RelatedPerson instance./,,
0,,,,,,,,,relationship[1].coding[1].code,,,,,,,"/a relationship type that represents ""mother"" should be populated with ""MTH"" as default if no further context is known, or either of ""AOPTM"", ""GESTM"", ""NMTH"", ""NMTHF"", ""STPMTH"" if the context is known.",,
0,,,,,,,,,relationship[1].coding[1].system,,,,,,,"""https://hl7.org/fhir/R4/v3/RoleCode/cs.html#v3-RoleCode-_PersonalRelationshipRoleType""",,
1,CX.1,ID Number,ST,1,1,,,,identifier.value,,string,0,1,,,,,
2,CX.2,Identifier Check Digit,ST,0,1,,,,identifier.extension[1].url,,uri,0,1,,,"""http://hl7.org/fhir/StructureDefinition/identifier-checkDigit""",,
2,CX.2,Identifier Check Digit,ST,0,1,,,,identifier.extension[1].valueString,,string,1,1,,,,,
3,CX.3,Check Digit Scheme,ID,0,1,,,,identifier.extension[2].url,,uri,0,1,,,"""http://hl7.org/fhir/StructureDefinition/namingsystem-checkDigit""",,
3,CX.3,Check Digit Scheme,ID,0,1,,,,identifier.extension[2].valueString,,string,1,1,,,,,
4,CX.4,Assigning Authority,HD,0,1,,,If not in http://hl7.org/implement/standards/fhir/identifier-registry.html then determine whether organization or system,identifier.assigner(Organization),,Reference(Organization),0,1,HD[Organization],,,,
4,CX.4,Assigning Authority,HD,0,1,IF CX.4 IN http://hl7.org/implement/standards/fhir/identifier-registry.html,,,identifier.system,,uri,0,1,HD[uri],,,,"Typically the assigning authority reflects an organization, but if it is an actual system (EHR 1 vs. EHR 2, both supporting the same organization where one cannot get more specific), then CX.4 should be mapped to .system"
5,CX.5,Identifier Type Code,ID,1,1,,,,identifier.type.coding.code,,code,0,1,,IdentifierType,,,
6,CX.6,Assigning Facility,HD,0,1,,,,,extension??-assigningFacility,Reference(Organization),0,1,HD[Organization],,,,
7,CX.7,Effective Date,DT,0,1,,,,identifier.period.start,,dateTime,0,1,,,,,
8,CX.8,Expiration Date,DT,0,1,,,,identifier.period.end,,dateTime,0,1,,,,,
9,CX.9,Assigning Jurisdiction,CWE,0,1,,,,,,,,,,,,,
10,CX.10,Assigning Agency or Department,CWE,0,1,,,,,,,,,,,,,
11,CX.11,Security Check,ST,0,1,,,,,,,,,,,,,
12,CX.12,Security Check Scheme,ID,0,1,,,,,,,,,,,,,
