HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,XON.1,Organization Name,ST,0,1,,,,string,,string,0,1,,,,,
2,XON.2,Organization Name Type Code,CWE,0,1,,,,,,,,,,,,,
3,XON.3,ID Number,NM,,,,,,,,,,,,,,,
4,XON.4,Identifier Check Digit,NM,,,,,,,,,,,,,,,
5,XON.5,Check Digit Scheme,NM,,,,,,,,,,,,,,,
6,XON.6,Assigning Authority,HD,0,1,,,,,,,,,,,,,
7,XON.7,Identifier Type Code,ID,0,1,,,,,,,,,,,,,
8,XON.7,Identifier Type Code,ID,0,1,,,,,,,,,,,,,
9,XON.8,Assigning Facility,HD,0,1,,,,,,,,,,,,,
0,XON.9,Name Representation Code,ID,0,1,,,,,,,,,,,,,
10,XON.10,Organization Identifier,ST,0,1,IF XON.1 NOT VALUED,,,string,,string,0,1,,,,,
