HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,Comments
Sort Order,Identifier,Syntax,Name,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,Primary Target,Segment Map,References,,
1,ADT_A04.MSH,MSH,Message Header,1,1,,,,Bundle,MSH[Bundle],,,
1,ADT_A04.MSH,MSH,Message Header,1,1,,,,MessageHeader[1],MSH[MessageHeader],,,
1,ADT_A04.MSH,MSH,Message Header,1,1,,,,Provenance[1],MSH[Provenance],Provenance.target=Bundle; Provenance.target=MessageHeader[MSH],,
2,ADT_A04.ARV,[{ ARV }],Access Restrictions,0,-1,,,,,,,,
3,ADT_A04.SFT,[{ SFT }],Software Segment,0,-1,,,,MessageHeader[1],SFT[MessageHeader],,,
4,ADT_A04.UAC,[ UAC ],User Authentication Credential,0,1,,,,,,,,
5,ADT_A04.EVN,EVN,Event Type,1,1,,,,Provenance[3],EVN[Provenance],Provenance.target=Bundle; Provenance.target=MessageHeader[MSH],,
6,ADT_A04.PID,PID,Patient Identification,1,1,,,,Patient[1],PID[Patient],,,
7,ADT_A04.PD1,[ PD1 ],Additional Demographics,0,1,,,,Patient[1],PD1[Patient],,,
8,ADT_A04.OH1,[{ OH1 }],Employment Status,0,-1,,,,,,,,
9,ADT_A04.OH2,[{ OH2 }],Past or Present Job,0,-1,,,,,,,,
10,ADT_A04.OH3,[  OH3  ],Usual Work,0,1,,,,,,,,
11,ADT_A04.OH4,[{ OH4 }],Combat Zone Work,0,-1,,,,,,,,
12,ADT_A04:follow:PID.ARV,[{ ARV }],Access Restrictions,0,-1,"IF ARV-1 IN (""PID"", ""PD1"") AND ARV-3 NOT VALUED",,,Patient[1],ARV[Patient],Resource=Patient[1],,
13,ADT_A04:follow:PID.ROL,[{ ROL }],Role,0,-1,"IF ROL-3.1 EQUALS ""PP"" AND ROL-3.3 EQUALS ""HL70443""","(element(""3.1"")=""PP"")and(element(""3.3"")=""HL70443"")",,Patient[1],ROL[Patient-PractitionerRole],,,
13,ADT_A04:follow:PID.ROL,[{ ROL }],Role,0,-1,"IF ROL-3.1 NOT EQUALS  ""PP"" OR ROL-3.3 NOT EQUALS ""HL70443""","(element(""3.1"")!=""PP"")or(element(""3.3"")!=""HL70443"")","While most likely all other HL70443 values go to RelatedPerson, the implementation needs to determine whether that is fully accurate.",RelatedPerson[1],ROL[RelatedPerson],RelatedPerson[1].patient.reference=Patient[1].id,,
14,ADT_A04:follow:PID.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
15,ADT_A04.NEXT_OF_KIN,[{,--- NEXT_OF_KIN begin,0,-1,,,,,,,,
15.1,ADT_A04.NEXT_OF_KIN.NK1,NK1,Next of Kin / Associated Parties,1,1,,,The FHIR location will depend on the nature of the data being exchanged and how the systems use next of kin data,RelatedPerson[2],NK1[RelatedPerson],RelatedPerson[2].patient.reference=Patient[1].id,,
15.1,ADT_A04.NEXT_OF_KIN.NK1,NK1,Next of Kin / Associated Parties,1,1,,,The FHIR location will depend on the nature of the data being exchanged and how the systems use next of kin data,Patient[1],NK1[Patient],,,
15.2,ADT_A04.NEXT_OF_KIN.OH2,[{ OH2 }],Past or Present Job,0,-1,,,,,,,,
15.3,ADT_A04.NEXT_OF_KIN.OH3,[  OH3  ],Usual Work,0,1,,,,,,,,
15.4,/ADT_A04.NEXT_OF_KIN,}],--- NEXT_OF_KIN end,,,,,,,,,,
16,ADT_A04.PV1,PV1,Patient Visit,1,1,,,,Encounter[1],PV1[Encounter],Encounter[1].subject.reference=Patient[1].id,,
16,ADT_A04.PV1,PV1,Patient Visit,1,1,,,,Patient[1],PV1[Patient],,,
17,ADT_A04.PV2,[ PV2 ],Patient Visit - Additional Info.,0,1,,,,Encounter[1],PV2[Encounter],,,
18,ADT_A04:follow:PV1.ARV,[{ ARV }],Access Restrictions,0,-1,"IF ARV-1 IN (""PV1"", ""PV2"") AND ARV-3 NOT VALUED",,,Encounter[1],ARV[Encounter],Resource=Encounter[1],,
19,ADT_A04.ROL,[{ ROL }],Role,0,-1,,,,Encounter[1],ROL[Encounter-PractitionerRole],,,
20,ADT_A04.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
21,ADT_A04.DB1,[{ DB1 }],Disability Information,0,-1,,,,,,,,
22,ADT_A04.OBSERVATION,[{,--- OBSERVATION begin,0,-1,,,,,,,,
22.1,ADT_A04.OBSERVATIONADT_A04.OBX,OBX,Observation/Result,1,1,,,,Observation,OBX[Observation],Observation.subject.reference=Patient[1].id,,
22.1,ADT_A04.OBSERVATIONADT_A04.OBX,OBX,Observation/Result,1,1,,,,Observation,OBX[Observation-Component],Observation.subject.reference=Patient[1].id,,
22.2,ADT_A04.OBSERVATIONADT_A04.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
22.3,/ADT_A04.OBSERVATION,}],--- OBSERVATION end,,,,,,,,,,
23,ADT_A04.AL1,[{ AL1 }],Allergy Information,0,-1,,,,AllergyIntolerance,AL1[AllergyIntolerance],AllergyIntolerance.patient.reference=Patient[1].id,,
24,ADT_A04.IAM,[{ IAM }],Patient Advers Reaction Information,0,-1,,,,,,,,
25,ADT_A04.DG1,[{ DG1 }],Diagnosis Information,0,-1,,,If in context of the patient,Condition,DG1[Condition],Condition.subject.reference=Patient[1].id,,
25,ADT_A04.DG1,[{ DG1 }],Diagnosis Information,0,-1,"IF DG1-6 EQUALS ""admitting""",,,Encounter[1],DG1[Encounter],Encounter[1].diagnosis.reference=Condition[1].id,,
25,ADT_A04.DG1,[{ DG1 }],Diagnosis Information,0,-1,,,If in context of an encounter,Encounter[1],DG1[Encounter],Encounter[1].diagnosis.reference=Condition[1].id,,
25,ADT_A04.DG1,[{ DG1 }],Diagnosis Information,0,-1,,,If in context of a episode of care,EpisodeOfCare[1],DG1[EpisodeOfCare],EpisodeOfCare.diagnosis.reference=Condition[1].id,,
26,ADT_A04.DRG,[ DRG ],Diagnosis Related Group,0,1,,,,,,,,
27,ADT_A04.PROCEDURE,[{,--- PROCEDURE begin,0,-1,,,,,,,,
27.1,ADT_A04.PROCEDUREADT_A04.PR1,PR1,Procedures,1,1,,,,Procedure,PR1[Procedure],Procedure.subject.reference=Patient[1].id,,
