HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,Comments
Sort Order,Identifier,Syntax,Name,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,Primary Target,Segment Map,References,,
1,ADT_A05.MSH,MSH,Message Header,1,1,,,,Bundle,MSH[Bundle],,,
1,ADT_A05.MSH,MSH,Message Header,1,1,,,,MessageHeader[1],MSH[MessageHeader],,,Processing of the MSH segment results in the creation of a new MessageHeader resource.
1,ADT_A05.MSH,MSH,Message Header,1,1,,,"If there is a source in MSH-4, or known based on the configuration.",Provenance[1],MSH[Provenance-Source],Provenance[1].target.reference=Bundle.id; Provenance[1].target.reference=MessageHeader[1].id,,"If the FHIR transformation does not yield a FHIR message, but only a set of resource (APIs, repository, etc.) than one should consider attaching this Provenance resource instance to the relevant FHIR resources generated."
1,ADT_A05.MSH,MSH,Message Header,1,1,,,,Provenance[2],MSH[Provenance-Transformation],Provenance[2].target.reference=Bundle.id,,"If the FHIR transformation does not yield a FHIR Bunlde, but only a set of resource (APIs, repository, etc.) than one should consider attaching this Provenance resource instance to the relevant FHIR resources generated."
2,ADT_A05.ARV,[{ ARV }],Access Restrictions,0,-1,,,,,,,,
3,ADT_A05.SFT,[{ SFT }],Software Segment,0,-1,,,If the software does represent not the original source system,Provenance[1].entity.what(Device),SFT[Device],"Provenance[1].entity.what.reference=Device.id
Provenance[1].entity.role=""derivation""",,
3,ADT_A05.SFT,[{ SFT }],Software Segment,0,-1,,,If the software represents the original source system,Provenance[1].entity.what(Device),SFT[Device],"Provenance[1].entity.what.reference=Device.id
Provenance[1].entity.role=""source""",,
4,ADT_A05.UAC,[ UAC ],User Authentication Credential,0,1,,,,,,,,
5,ADT_A05.EVN,EVN,Event Type,1,1,,,,Provenance[3],EVN[Provenance],Provenance[3].target.reference=MessageHeader[1].id,,
5,ADT_A05.EVN,EVN,Event Type,1,1,IF EVN-5 NOT VALUED AND (MSH-22 IS VALUED OR MSH-4 IS VALUED),,,Provenance[3],MSH[Provenance-Operator],Provenance[3].target.reference=MessageHeader[1].id,,"If EVN-5 is not valued, then the MSH may have either the sending responsible organization (MSH-22) or the sending facility (MSH-4) to reasonable approximate the agent relevant for this Provenance instance."
6,ADT_A05.PID,PID,Patient Identification,1,1,,,,Patient[1],PID[Patient],,,Processing of the PID segment results in the creation of a new Patient resource
6,ADT_A05.PID,PID,Patient Identification,1,1,,,,Account,PID[Account],Account.subject.reference=Patient[1].id,,
6,ADT_A05.PID,PID,Patient Identification,1,1,IF PID-33 AND PID-34 VALUED,,One  may drop PID-33 from the condition if PID-34 Last Update Facility is still sufficient without a date.,Provenance[4],PID[Provenance-Patient],Provenance.target.reference=Patient[1].id,,
7,ADT_A05.PD1,[ PD1 ],Additional Demographics,0,1,,,,Patient[1],PD1[Patient],,,Incorporate PD1 content into the Patient created from the PID segment.
7,ADT_A01.PD1,[ PD1 ],Additional Demographics,0,1,IF PD1-7 VALUED,,,Observation[1],PD1[Observation-LivingWill],Observation[1].subject.reference=Patient[1].id,,
8,ADT_A05.OH1,[{ OH1 }],Employment Status,0,-1,,,,,,,,
9,ADT_A05.OH2,[{ OH2 }],Past or Present Job,0,-1,,,,,,,,
10,ADT_A05.OH3,[  OH3  ],Usual Work,0,1,,,,,,,,
11,ADT_A05.OH4,[{ OH4 }],Combat Zone Work,0,-1,,,,,,,,
12,ADT_A05:follow:PID.ARV,[{ ARV }],Access Restrictions,0,-1,,,,,,,,"FHIR does not yet support field level security tags.  The ARV, when located with the PID/PD1 in the v2 message, is meant to only apply to the patient.  However, technically it could point to other places in the messageas as well.  That is considered out of scope as."
13,ADT_A05:follow:PID.ROL,[{ ROL }],Role,0,-1,"IF ROL-3.1 EQUALS ""PP"" AND ROL-3.3 EQUALS ""HL70443""","(element(""3.1"")=""PP"")and(element(""3.3"")=""HL70443"")",,Patient[1],ROL[Patient-GeneralPractitioner],,,
13,ADT_A05:follow:PID.ROL,[{ ROL }],Role,0,-1,"IF ROL-3.3 EQUALS ""HL70443"" AND ROL-3.1 IS NOT ""PP""","(element(""3.1"")!=""PP"")or(element(""3.3"")!=""HL70443"")","When the ROL includes entries with roles in Table HL70443 other than ""PP"", then they may be candidates for CareTeam, but not all.  That is implementation specific.",CareTeam[1],ROL[CareTeam],CareTeam[1].subject.reference=Patient[1].id,,
