HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,Comments
Sort Order,Identifier,Syntax,Name,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,Primary Target,Segment Map,References,,
1,VXU_V04.MSH,MSH,Message Header,1,1,,,,Bundle,MSH[Bundle],,,
1,VXU_V04.MSH,MSH,Message Header Segment,1,1,,,,MessageHeader[1],MSH[MessageHeader],,,Processing of the MSH segment results in the creation of a new MessageHeader resource
1,VXU_V04.MSH,MSH,Message Header Segment,1,1,,,,Provenance[1],MSH[Provenance],Provenance.target=Bundle; Provenance.target=MessageHeader[MSH],,
2,VXU_V04.SFT,[{ SFT }],Software,0,-1,,,,MessageHeader[1],SFT[MessageHeader],,,Incorporate SFT content for each of the SFT instances into the MessageHeader created from the MSH segment.
3,VXU_V04.UAC,[ UAC ],User Authentication Credential,0,1,,,,,,,,
4,VXU_V04.PID,PID,Patient Identification Segment,1,1,,,,Patient[1],PID[Patient],,,Processing of the PID segment results in the creation of a new Patient resource
5,VXU_V04.PD1,[ PD1 ],Additional Demographics,0,1,,,,Patient[1],PD1[Patient],,,Incorporate PD1 content into the Patient created from the PID segment.
6,VXU_V04.NK1,[{ NK1 }],Next of Kin/Associated Parties,0,-1,,,,RelatedPerson[1],NK1[RelatedPerson],RelatedPerson.patient.reference=Patient[PID].id,,"Typically, each NK1 will be translated to either a new RelatedPerson resource or added as a new occurrence of Patient.contact, but it's possible to insert the NK1 data into both structures."
6,VXU_V04.NK1,[{ NK1 }],Next of Kin/Associated Parties,0,-1,,,,Patient[1],NK1[Patient],,,
7,VXU_V04.ARV,[{ ARV }],Access Restrictions,0,-1,,,,,,,,
8,VXU_V04.PATIENT_VISIT,[,--- PATIENT_VISIT begin,0,1,,,,,,,,
8.1,VXU_V04.PATIENT_VISIT.PV1,PV1,Patient Visit,1,1,,,Only if the system wants to know about the encounter related to the immunization event,Encounter[1],PV1[Encounter],Encounter.subject.reference=Patient[PID].id,,Processing of the PV1 segment results in the creation of a new Encounter resource
8.1,VXU_V04.PATIENT_VISIT.PV1,PV1,Patient Visit,1,1,,,,Patient[1],PV1[Patient],,,
8.2,VXU_V04.PATIENT_VISIT.PV2,[ PV2 ],Patient Visit – Additional Info,0,1,,,,Encounter[1],PV2[Encounter],,,Incorporate PV2 content into the Encounter created from the PV1 segment.
8.3,VXU_V04.PATIENT_VISIT.ARV,[{ ARV }],Access Restrictions,0,-1,,,,,,,,
8.4,/VXU_V04.PATIENT_VISIT,],--- PATIENT_VISIT end,,,,,,,,,,
9,VXU_V04.GT1,[{ GT1 }],Guarantor,0,-1,,,,,,,,
10,VXU_V04.INSURANCE,[{,--- INSURANCE begin,0,-1,,,,,,,,
10.1,VXU_V04.INSURANCE,IN1,Insurance,1,1,,,,,,,,Processing of the IN1 segment results in the creation of a new Coverage resource
10.2,VXU_V04.INSURANCE,[ IN2 ],Insurance Additional Information,0,1,,,,,,,,Incorporate IN2 content into the Coverage created from the IN1 segment.
10.3,VXU_V04.INSURANCE,[ IN3 ],"Insurance Additional Information, Certification",0,1,,,,,,,,Incorporate IN3 content into the Coverage created from the IN1 segment.
10.4,/VXU_V04.INSURANCE,}],--- INSURANCE end,,,,,,,,,,
11,VXU_V04.PERSON_OBSERVATION,[{,--- PERSON_OBSERVATION begin,0,-1,,,,,,,,
11.1,VXU_V04.PERSON_OBSERVATION.OBX,OBX,Observation/Result,1,1,IF OBX-5 LST.count LESS THAN OR EQUALS 1,,,Observation[1],OBX[Observation],Observation.subject.reference=Patient[1].id,,
11.1,VXU_V04.PERSON_OBSERVATION.OBX,OBX,Observation/Result,1,1,IF OBX-5 LST.count GREATER THAN 1,,,Observation[1],OBX[Observation-Component],Observation.subject.reference=Patient[1].id,,
11.2,VXU_V04.PERSON_OBSERVATION.PRT,[{ PRT }],Participation (for Observation),0,-1,IF PRT-10 VALUED,,,Device[1],PRT[Device],Observation[1].device.reference=Device.id,,
11.2,VXU_V04.PERSON_OBSERVATION.PRT,[{ PRT }],Participation (for Observation),0,-1,IF PRT-9 VALUED OR IF PRT-14 VALUED,,,Observation[1],PRT[Observation-Location],,,"At this time we don't know of a use case for sending a location PRT to a patient level observations. We've provided a mapping from PRT to Location but not way to link it to other resources in the Bundle. If there is a known use case, please comment on it so that we can develop a solution."
11.2,VXU_V04.PERSON_OBSERVATION.PRT,[{ PRT }],Participation (for Observation),0,-1,IF PRT-5 VALUED,,,PractitionerRole[1],PRT[PractitionerRole],Observation.performer.reference=PractitionerRole[1].id,,
11.3,VXU_V04.PERSON_OBSERVATION.NTE,[{ NTE }],Notes (Regarding Patient Observation),0,-1,,,,Observation[1].note,NTE[Annotation],,,
11.4,/VXU_V04.PERSON_OBSERVATION,}],--- PERSON_OBSERVATION end,,,,,,,,,,
12,VXU_V04.ORDER,[{,--- ORDER begin,0,-1,,,,,,,,
12.1,VXU_V04.ORDER.ORC,ORC,Common Order,1,1,,,,Immunization[1],ORC[Immunization],Immunzation.patient.reference=Patient[1].id,,Processing of each ORC segment results in the creation of a new Immunization resource
12.1,VXU_V04.ORDER.ORC,ORC,Common Order,1,1,,,Only if the system wants to know about the order that lead to the immunization event,ServiceRequest[1],ORC[ServiceRequest],ServiceRequest.subject.reference=Patient[1].id,,Processing of each ORC segment results in the creation of a new ServiceRequest resource if the receiving system wants to know about the order that lead to the immunization event
12.2,VXU_V04.ORDER.PRT,[{PRT}],Participation (for ORC),0,-1,"IF PRT-4.1 EQUALS ""OP"" AND PRT-4.3 EQUALS ""HL70443""","(element(""4.1"")=""OP"")and(element(""4.3"")=""HL70443"")",,PractitionerRole[2],PRT[PractitionerRole],Immunization.performer.actor.reference=PractitionerRole[2].id,,"Processing of each PRT segment typically results in the creation of a new Practitioner or PractitionerRole resource. 

The decision between creating a Practitioner or PractitionerRole resource may depend on the availability of data related to the practitioner's role elsewhere in the message.

It may be possible to reuse a Practitioner resource in the bundle created from somewhere else in the bundle rather than creating a new resource for each PRT segment (eg, the same administering practictioner resource could be pointed to from multiple order segment groups) - if an implementer decides to do this, the system must be certain that it's the same person (same name, ID, etc) potentially even playing the same role (if the bundle uses PractitionerRole in addition to Practitioner)."
