HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,Comments
Sort Order,Identifier,Syntax,Name,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,Primary Target,Segment Map,References,,
1,ORU_R01.MSH,MSH,Message Header,1,1,,,,Bundle,MSH[Bundle],,,
1,ORU_R01.MSH,MSH,Message Header,1,1,,,,MessageHeader[1],MSH[MessageHeader],,,Processing of the MSH segment results in the creation of a new MessageHeader resource
1,ORU_R01.MSH,MSH,Message Header,1,1,,,"If there is a source in MSH-4, or known based on the configuration.",Provenance[1],MSH[Provenance-Source],Provenance[1].target.reference=Bundle.id; Provenance[1].target.reference=MessageHeader[1].id,,"If the FHIR transformation does not yield a FHIR message, but only a set of resource (APIs, repository, etc.) than one should consider attaching this Provenance resource instance to the relevant FHIR resources generated."
1,ORU_R01.MSH,MSH,Message Header,1,1,,,,Provenance[2],MSH[Provenance-Transformation],Provenance[2].target.reference=Bundle.id,,"If the FHIR transformation does not yield a FHIR Bunlde, but only a set of resource (APIs, repository, etc.) than one should consider attaching this Provenance resource instance to the relevant FHIR resources generated."
2,ORU_R01.SFT,[{ SFT }],Software Segment,0,-1,,,If the software does represent not the original source system,Provenance[1].entity.what(Device),SFT[Device],"Provenance[1].entity.what.reference=Device.id
Provenance[1].entity.role=""derivation""",,
2,ORU_R01.SFT,[{ SFT }],Software Segment,0,-1,,,If the software represents the original source system,Provenance[1].entity.what(Device),SFT[Device],"Provenance[1].entity.what.reference=Device.id
Provenance[1].entity.role=""source""",,
3,ORU_R01.UAC,[UAC],User Authentication Credential,0,1,,,,,,,,
4,ORU_R01.PATIENT_RESULT,{,--- PATIENT_RESULT begin,1,-1,,,,,,,,
4.1,ORU_R01.PATIENT_RESULT.PATIENT,[,--- PATIENT begin,0,1,,,,,,,,
4.1.1,ORU_R01.PATIENT_RESULT.PATIENT.PID,PID,Patient Identification,1,1,,,,Patient[1],PID[Patient],,,Processing of the PID segment results in the creation of a new Patient resource
b,ORU_R01.PATIENT_RESULT.PATIENT.PID,PID,Patient Identification,1,1,IF PID-33 AND PID-34 VALUED,,One  may drop PID-33 from the condition if PID-34 Last Update Facility is still sufficient without a date.,Provenance[4],PID[Provenance-Patient],Provenance.target.reference=Patient[1].id,,
4.1.2,ORU_R01.PATIENT_RESULT.PATIENT.PD1,[PD1],Additional Demographics,0,1,,,,Patient[1],PD1[Patient],,,Incorporate PD1 content into the Patient created from the PID segment.
4.1.2,ORU_R01.PATIENT_RESULT.PATIENT.PD1,[PD1],Additional Demographics,0,1,IF PD1-7 VALUED,,,Observation[4],PD1[Observation-LivingWill],Observation[4].subject.reference=Patient[1].id,,
4.1.3,ORU_R01.PATIENT_RESULT.PATIENT.PRT,[{PRT}],Participation (for Patient),0,-1,"IF PRT-4.1 EQUALS ""PP"" AND PRT-4.3 EQUALS ""HL70443""","(PRT.element(4.1)=""PP"")and(PRT.element(4.3)=""HL70443"")","If PRT-2 is valued to ""D"", delete, then the implementer needs to consider whether to create a Device with Device.status = ""inactive"".",PractitionerRole[1],PRT[PractitionerRole],Patient[1].generalPractitioner.reference=PractitionerRole[1].id,,"Incorporate PRT content into the Patient created from the PID segment when the PRT contains practitioner related data.
If PRT-2 is set to ""D"" and ""inactive"" cannot be used, please submit a JIRA with context and rationale."
