HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,Comments
Sort Order,Identifier,Syntax,Name,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,Primary Target,Segment Map,References,,
1,OML_O21.MSH,MSH,Message Header,1,1,,,,Bundle,MSH[Bundle],,,
1,OML_O21.MSH,MSH,Message Header,1,1,,,,MessageHeader[1],MSH[MessageHeader],,,Processing of the MSH segment results in the creation of a new MessageHeader resource
1,OML_O21.MSH,MSH,Message Header,1,1,,,,Provenance[1],MSH[Provenance],Provenance.target=Bundle; Provenance.target=MessageHeader[MSH],,
2,OML_O21.SFT,[{SFT}],Software,0,-1,,,,MessageHeader[1],SFT[MessageHeader],,,Incorporate SFT content for each of the SFT instances into the MessageHeader created from the MSH segment.
3,OML_O21.UAC,[ UAC ],User Authentication Credential,0,1,,,,,,,,
4,OML_O21.NTE,[{NTE}],Notes and Comments (for Header),0,-1,,,,,,,,
5,OML_O21.PATIENT,[,--- PATIENT begin,0,1,,,,,,,,
5.1,OML_O21.PATIENT.PID,PID,Patient Identification,1,1,,,,Patient[1],PID[Patient],,,Processing of the PID segment results in the creation of a new Patient resource
5.2,OML_O21.PATIENT.PD1,[PD1],Additional Demographics,0,1,,,,Patient[1],PD1[Patient],,,Incorporate PD1 content into the Patient created from the PID segment.
5.3,OML_O21.PATIENT.PRT,[{PRT}],Participation (for Patient),0,-1,"IF PRT-4.1 EQUALS ""PP"" AND PRT-4.3 EQUALS ""HL70443""","(element(""4.1"")=""PP"")and(element(""4.3"")=""HL70443"")",,PractitionerRole[1],PRT[PractitionerRole],Patient[1].generalPractitioner.reference=PractitionerRole[1].id,,Incorporate PRT content into the Patient created from the PID segment when the PRT contains practitioner related data.
5.3,OML_O21.PATIENT.PRT,[{PRT}],Participation (for Patient),0,-1,"IF PRT-4.1 NOT EQUALS ""PP"" OR PRT-4.3 NOT EQUALS ""HL70443""","(element(""4.1""!)=""PP"")or(element(""4.3"")!=""HL70443"")",,RelatedPerson[1],PRT[RelatedPerson],RelatedPerson[1].patient.reference=Patient[1].id,,
5.4,OML_O21.PATIENT.NTE,[{NTE}],Notes and Comments (for Patient ID),0,-1,,,,,,,,
5.6,OML_O21.PATIENT.NK1,[{NK1}],Next of Kin/Associated Parties,0,-1,,,The FHIR location will depend on the nature of the data being exchanged and how the systems use next of kin data,RelatedPerson[2],NK1[RelatedPerson],RelatedPerson[2].patient.reference=Patient[1].id,,"Typically, each NK1 will be translated to either a new RelatedPerson resource or added as a new occurrence of Patient.contact, but it's possible to insert the NK1 data into both structures."
5.6,OML_O21.PATIENT.NK1,[{NK1}],Next of Kin/Associated Parties,0,-1,,,The FHIR location will depend on the nature of the data being exchanged and how the systems use next of kin data,Patient[1],NK1[Patient],,,"Typically, each NK1 will be translated to either a new RelatedPerson resource or added as a new occurrence of Patient.contact, but it's possible to insert the NK1 data into both structures."
5.7,OML_O21.PATIENT.ARV,[{ARV}],Access Restrictions,0,-1,,,,,,,,
5.8,OML_O21.PATIENT.PATIENT_VISIT,[,--- PATIENT_VISIT begin,0,1,,,,,,,,
5.8.1,OML_O21.PATIENT.PATIENT_VISIT.PV1,PV1,Patient Visit,1,1,,,,Encounter[1],PV1[Encounter],Encounter.subject=Patient[PID],,Processing of the PV1 segment results in the creation of a new Encounter resource
5.8.1,OML_O21.PATIENT.PATIENT_VISIT.PV1,PV1,Patient Visit,1,1,,,,Patient[1],PV1[Patient],,,
5.8.2,OML_O21.PATIENT.PATIENT_VISIT.PV2,[ PV2 ],Patient Visit- Additional Info,0,1,,,,Encounter[1],PV2[Encounter],,,Incorporate PV2 content into the Encounter created from the PV1 segment.
5.8.3,OML_O21.PATIENT.PATIENT_VISIT.PRT,[{PRT}],Participation (for Patient Visit),0,-1,,,,PractitionerRole[2],PRT[PractitionerRole],Encounter[1].participant.individual.reference=PractitionerRole[2].id,,Incorporate PRT content into the Encounter created from the PV1 segment.
5.8.4,/OML_O21.PATIENT.PATIENT_VISIT,],--- PATIENT_VISIT end,,,,,,,,,,
5.9,OML_O21.PATIENT.INSURANCE,[{,--- INSURANCE begin,0,-1,,,,,,,,
5.9.1,OML_O21.PATIENT.INSURANCE.IN1,IN1,Insurance,1,1,,,,Coverage[1],IN1[Coverage],Coverage.subscriber=Patient[PID],,Processing of the IN1 segment results in the creation of a new Coverage resource
5.9.2,OML_O21.PATIENT.INSURANCE.IN2,[ IN2 ],Insurance Additional Information,0,1,,,,Coverage[1],IN2[Coverage],,,Incorporate IN2 content into the Coverage created from the IN1 segment.
5.9.3,OML_O21.PATIENT.INSURANCE.IN3,[ IN3 ],"Insurance Additional Information, Certification",0,1,,,,Coverage[1],IN3[Coverage],,,Incorporate IN3 content into the Coverage created from the IN1 segment.
5.9,/OML_O21.PATIENT.INSURANCE,}],--- INSURANCE end,,,,,,,,,,
5.10,OML_O21.PATIENT.AL1,[ GT1 ],Guarantor,0,1,,,,,,,,
5.11,OML_O21.PATIENT.AL1,[{AL1}],Allergy Information,0,-1,,,,AllergyIntolerance,AL1,AllergyIntolerance.patient=Patient[PID],,Processing of the AL1 segment results in the creation of a new AllergyIntolerance resource
5,/OML_O21.PATIENT,],--- PATIENT end,,,,,,,,,,
6,OML_O21.ORDER,{,--- ORDER begin,1,-1,,,,,,,,
6.1,OML_O21.ORDER.ORC,ORC,Common Order,1,1,,,,ServiceRequest[1],ORC[ServiceRequest],ServiceRequest.subject=Patient[PID],,Processing of each ORC segment results in the creation of a new ServiceRequest resource
6.1,OML_O21.ORDER.ORC,ORC,Common Order,1,1,,,,Provenance[3],ORC[Provenance],Provenance.target=ServiceRequest[ORC],,"Using Provenance is the preferred way, but a local implementation may decide to add extensions to the main resource.  As the use and guidance of Provenance matures we wil revisit this later."
6.2,OML_O21.ORDER.PRT,[{PRT}],Participation (for Common Order),0,-1,"IF PRT-4.1 EQUALS ""OP"" AND PRT-4.3 EQUALS ""HL70443""","(element(""4.1"")=""OP"")and(element(""4.3"")=""HL70443"")",,PractitionerRole[3],PRT[PractitionerRole],ServiceRequest[1].requester.reference=PractitionerRole[3].id,,
6.3,OML_O21.ORDER.TIMING,[{,--- TIMING begin,0,-1,,,,,,,,
6.3.1,OML_O21.ORDER.TIMING.TQ1,TQ1,Timing/Quantity,1,1,,,,ServiceRequest[1],TQ1[ServiceRequest],,,
6.3.2,OML_O21.ORDER.TIMING.TQ2,[{TQ2}],Timing/Quantity Order Sequence,0,-1,,,,ServiceRequest[1],TQ2[ServiceRequest],,,
