HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,CX.1,ID Number,ST,1,1,,,,value,,string,0,1,,,,,
2,CX.2,Identifier Check Digit,ST,0,1,,,,,Identifier.#ext-checkDigit#,string,0,1,,,,,
3,CX.3,Check Digit Scheme,ID,0,1,,,,,Identifier.#ext-checkDigitScheme#,code,0,1,,,,,
4,CX.4,Assigning Authority,HD,0,1,,,If organization,assigner(Organization),,Reference(Organization),0,1,HD[Organization],,,,
4,CX.4,Assigning Authority,HD,0,1,,,If system,system,,uri,0,1,HD[uri],,,,
5,CX.5,Identifier Type Code,ID,1,1,,,,type.coding.code,,code,0,1,,IDType,,,
6,CX.6,Assigning Facility,HD,0,1,,,,,Identifier.#ext-assigningFacility#,Reference(Location),0,1,HD[Location],,,,
7,CX.7,Effective Date,DT,0,1,,,,period.start,,dateTime,0,1,,,,,
8,CX.8,Expiration Date,DT,0,1,,,,period.end,,dateTime,0,1,,,,,
9,CX.9,Assigning Jurisdiction,CWE,0,1,,,,,,,,,,,,,
10,CX.10,Assigning Agency or Department,CWE,0,1,,,,,,,,,,,,,
11,CX.11,Security Check,ST,0,1,,,,,,,,,,,,,
12,CX.12,Security Check Scheme,ID,0,1,,,,,,,,,,,,,
