HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Display Sequence,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Derived Mapping,,
01.00.00,PRT-1,Participation Instance ID,EI,0,1,,,,,,,,,,,,,
02.00.00,PRT-2,Action Code,ID,1,1,,,if mapped to a restful service to progress the message.,Operation,,,,,,SegmentActionCode,,,
03.00.00,PRT-3,Action Reason,CWE,0,1,,,,,,,,,,,,,
04.00.00,PRT-4,Role of Participation,CWE,1,1,,,,generalPractitioner(PractitionerRole.code),,CodeableConcept,,,CWE[CodeableConcept],Participation,,,
05.00.00,PRT-5,Person,XCN,0,-1,,,,generalPractitioner(PractitionerRole),,DomainResource,,,XCN[PractitionerRole],,,,
06.00.00,PRT-6,Person Provider Type,CWE,0,1,,,,,,,,,,,,,
07.00.00,PRT-7,Organization Unit Type,CWE,0,1,,,,,,,,,,,,,
08.00.00,PRT-8,Organization,XON,0,-1,,,,generalPractitioner(PractitionerRole.organization(Organization)),,Reference(Organization),0,1,XON[Organization],,,,
09.00.00,PRT-9,Location,PL,0,-1,,,,generalPractitioner(PractitionerRole.location(Location)),,Reference(Location),0,1,PL[Location],,,,
10.00.00,PRT-10,Device,EI,0,-1,,,,,,,,,,,,,
11.00.00,PRT-11,Begin Date/Time (arrival time),DTM,0,1,,,,generalPractitioner(PractitionerRole.period.start),,dateTime,,,,,,,
12.00.00,PRT-12,End Date/Time (departure time),DTM,0,1,,,,generalPractitioner(PractitionerRole.period.end),,dateTime,,,,,,,
13.00.00,PRT-13,Qualitative Duration,CWE,0,1,,,,,,,,,,,,,
14.00.00,PRT-14,Address,XAD,0,-1,,,,generalPractitioner(PractitionerRole.Practitioner(Practitioner.address)),,Address,0,-1,XAD[Address],,,,
15.00.00,PRT-15,Telecommunication Address,XTN,0,-1,,,,generalPractitioner(PractitionerRole.telecom),,ContactPoint,0,-1,XTN[ContactPoint],,,,
16.00.00,PRT-16,UDI Device Identifier,EI,0,1,,,,,,,,,,,,,
17.00.00,PRT-17,Device Manufacture Date,DTM,0,1,,,,,,,,,,,,,
18.00.00,PRT-18,Device Expiry Date,DTM,0,1,,,,,,,,,,,,,
19.00.00,PRT-19,Device Lot Number,ST,0,1,,,,,,,,,,,,,
20.00.00,PRT-20,Device Serial Number,ST,0,1,,,,,,,,,,,,,
21.00.00,PRT-21,Device Donation Identification,EI,0,1,,,,,,,,,,,,,
22.00.00,PRT-22,Device Type,CNE,0,1,,,,,,,,,,,,,
23.00.00,PRT-23,Preferred Method of Contact,CWE,0,1,,,,,extension??-preferredMethodOfContact,CodeableConcept,0,1,CWE[CodeableConcept],PreferredMethodOfContact,,,
24.00.00,PRT-24,Contact Identifiers,PLN,0,-1,,,,generalPractitioner(PractitionerRole.identifier[2]),,identifier,0,-1,PLN[Identifier],,,,
