HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
,,,,,,22566001,,"Cytology brush, device", http://snomed.info/sct,,
,,,,,,463568005,,Pleural drainage system fluid collector, http://snomed.info/sct,,
,,,,,,464527005,,Paediatric blood donor set, http://snomed.info/sct,,
,,,,,,464573007,,"Assisted reproduction needle, reprocessed", http://snomed.info/sct,,
,,,,,,464784003,,Assisted reproduction catheter, http://snomed.info/sct,,
,,,,,,464946000,,"Assisted reproduction needle, single-use", http://snomed.info/sct,,
,,,,,,465046006,,Assisted reproduction cryotube, http://snomed.info/sct,,
,,,,,,465091002,,Tissue extraction bag, http://snomed.info/sct,,
,,,,,,465141003,,Otological bone particle collector, http://snomed.info/sct,,
,,,,,,465487000,,"Rigid endotherapy cytology brush, reusable", http://snomed.info/sct,,
,,,,,,466164006,,"Rigid endotherapy cytology brush, single-use", http://snomed.info/sct,,
,,,,,,466421006,,Viscerotome, http://snomed.info/sct,,
,,,,,,466447002,,Blood-processing autotransfusion system container, http://snomed.info/sct,,
,,,,,,466623002,,"Blood gas syringe/needle, sodium heparin", http://snomed.info/sct,,
,,,,,,466637006,,"Blood donor set, quad-pack", http://snomed.info/sct,,
,,,,,,466704003,,Blood collection/fat content reduction device, http://snomed.info/sct,,
,,,,,,466844004,,"Blood donor set, double-pack", http://snomed.info/sct,,
,,,,,,466898000,,"Blood donor set, quin-pack", http://snomed.info/sct,,
,,,,,,466930006,,"Blood donor set, triple-pack", http://snomed.info/sct,,
,,,,,,467030004,,"Blood gas syringe/needle, lithium heparin", http://snomed.info/sct,,
,,,,,,467131002,,Blood autotransfusion system tubing, http://snomed.info/sct,,
,,,,,,467132009,,"Blood donor set, single-pack", http://snomed.info/sct,,
,,,,,,467141004,,"Blood donor set, many-pack", http://snomed.info/sct,,
,,,,,,467182004,,Cervical cytology inflatable collector, http://snomed.info/sct,,
,,,,,,467330006,,Adipose tissue stem cell recovery unit, http://snomed.info/sct,,
,,,,,,467431009,,Abortion suction system collection bottle, http://snomed.info/sct,,
,,,,,,467499008,,Chorionic villus sampling catheter, http://snomed.info/sct,,
,,,,,,467647004,,Cryostat microtome, http://snomed.info/sct,,
,,,,,,467697000,,"Cytology scraper, single-use", http://snomed.info/sct,,
,,,,,,467743009,,Bone marrow explant needle, http://snomed.info/sct,,
,,,,,,467967005,,"Cytology scraper, reusable", http://snomed.info/sct,,
,,,,,,467989009,,"Capillary blood collection tube, no-additive", http://snomed.info/sct,,
,,,,,,468076003,,Bone marrow collection/transfusion set, http://snomed.info/sct,,
,,,,,,468131000,,Cervical cytology brush, http://snomed.info/sct,,
,,,,,,468200003,,Epididymal fluid aspiration catheter, http://snomed.info/sct,,
,,,,,,468981005,,Dental bone particle collector, http://snomed.info/sct,,
,,,,,,468999002,,Endometrial cytology brush, http://snomed.info/sct,,
,,,,,,469287008,,Intrauterine secretion scoop, http://snomed.info/sct,,
,,,,,,469322002,,Intravascular catheter endoluminal brush, http://snomed.info/sct,,
,,,,,,469454007,,Intrauterine scoop, http://snomed.info/sct,,
,,,,,,469822008,,"Flexible endotherapy cytology brush, single-use", http://snomed.info/sct,,
,,,,,,470114007,,"Flexible endotherapy cytology brush, reusable", http://snomed.info/sct,,
,,,,,,470547006,,General-purpose cytology brush, http://snomed.info/sct,,
,,,,,,470597005,,Gastro-urological scoop, http://snomed.info/sct,,
,,,,,,700855008,,"Tissue/fluid collection bag, sterile", http://snomed.info/sct,,
,,,,,,700905004,,"Specimen container mailer, insulated", http://snomed.info/sct,,
,,,,,,700906003,,"Specimen container mailer, non-insulated", http://snomed.info/sct,,
,,,,,,700945008,,Blood cell freeze/thaw system set, http://snomed.info/sct,,
,,,,,,700955007,,Blood collection Luer-syringe adaptor, http://snomed.info/sct,,
,,,,,,700956008,,"Blood collection needle, basic", http://snomed.info/sct,,
,,,,,,700957004,,Blood/tissue storage/culture container, http://snomed.info/sct,,
,,,,,,701394007,,General specimen receptacle transport container, http://snomed.info/sct,,
,,,,,,701516009,,Evacuated blood collection tube transport container, http://snomed.info/sct,,
,,,,,,701720006,,"Tissue/fluid collection bag, non-sterile", http://snomed.info/sct,,
,,,,,,702120003,,Blood collection Luer adaptor, http://snomed.info/sct,,
,,,,,,702223006,,Sputum specimen container, http://snomed.info/sct,,
,,,,,,702224000,,Midstream urine specimen container, http://snomed.info/sct,,
,,,,,,702232008,,Sweat specimen container IVD, http://snomed.info/sct,,
