HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
A,Admitting,HL70052,,,,AD,,Admission Diagnosis,http://terminology.hl7.org/CodeSystem/diagnosis-role,,
W,Working,HL70052,,,,,,,,,
F,Final,HL70052,,,,,,,,,
,,,,,,DD,Discharge diagnosis,Discharge diagnosis,http://terminology.hl7.org/CodeSystem/diagnosis-role,,
,,,,,,CC,Chief complaint,Chief complaint,http://terminology.hl7.org/CodeSystem/diagnosis-role,,
,,,,,,CM,Comorbidity diagnosis,Comorbidity diagnosis,http://terminology.hl7.org/CodeSystem/diagnosis-role,,
,,,,,,pre-op,pre-op diagnosis,pre-op diagnosis,http://terminology.hl7.org/CodeSystem/diagnosis-role,,
,,,,,,post-op,post-op diagnosis,post-op diagnosis,http://terminology.hl7.org/CodeSystem/diagnosis-role,,
,,,,,,billing,Billing,Billing,http://terminology.hl7.org/CodeSystem/diagnosis-role,,
