HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
BAD,Bad Name,HL70200,"F-R4, F-R6",,,,,old,,Old,http://hl7.org/fhir/name-use,,
A,Assigned,HL70200,"F-R4, F-R6",,,,,,,,,,
B,Birth name,HL70200,"F-R4, F-R6",,,,,,,,,,
C,Adopted Name,HL70200,"F-R4, F-R6",,,,,,,,,,
D,Customary Name,HL70200,"F-R4, F-R6",,,,,usual,,Usual,http://hl7.org/fhir/name-use,,
F,Fathers Name,HL70200,"F-R4, F-R6",,,,,,,,,,
I,Licensing Name,HL70200,"F-R4, F-R6",,,,,,,,,,
K,Business name,HL70200,"F-R4, F-R6",,,,,,,,,,
L,Official Registry Name,HL70200,"F-R4, F-R6",,,,,official,,Official,http://hl7.org/fhir/name-use,,
M,Maiden Name,HL70200,"F-R4, F-R6",,,,,maiden,,Name changed for Marriage,http://hl7.org/fhir/name-use,,
MSK,Masked,HL70200,"F-R4, F-R6",,,,,anonymous,,Anonymous,http://hl7.org/fhir/name-use,,
N,Nickname,HL70200,"F-R4, F-R6",,,,,nickname,,Nickname,http://hl7.org/fhir/name-use,,
NAV,Temporarily Unavailable,HL70200,"F-R4, F-R6",,,,,temp,,temp,http://hl7.org/fhir/name-use,,
NB,Newborn Name,HL70200,"F-R4, F-R6",,,,,,,,,,
NOUSE,No Longer To Be Used,HL70200,"F-R4, F-R6",,,,,,,,,,
P,Name of Partner/Spouse,HL70200,"F-R4, F-R6",,,,,,,,,,
R,Registered Name,HL70200,"F-R4, F-R6",,,,,official,,Official,http://hl7.org/fhir/name-use,,
REL,Religious,HL70200,"F-R4, F-R6",,,,,,,,,,
S,Pseudonym,HL70200,"F-R4, F-R6",,,,,,,,,,
T,Indigenous/Tribal,HL70200,"F-R4, F-R6",,,,,,,,,,
TEMP,Temporary Name,HL70200,"F-R4, F-R6",,,,,temp,,Temp,http://hl7.org/fhir/name-use,,
U,Unknown,HL70200,"F-R4, F-R6",,,,,,,,,,
